ID,MEDV
0,23.7360835257
1,24.9693313164
2,15.8782949765
3,19.8775283986
4,22.3045709233
5,22.4438706166
6,18.8974068772
7,22.3428706576
8,33.8202036295
9,18.5707684446
10,25.3956743987
11,22.0225975053
12,20.5302564417
13,18.286453824
14,20.223555789
15,26.8905034999
16,17.4320252893
17,24.6081256185
18,19.2438870216
19,21.6029979381
20,25.6633255948
21,36.7714319168
22,23.4989665009
23,9.51276637256
24,14.2335599632
25,8.44679390318
26,16.9832920355
27,20.1768316158
28,23.7317936252
29,15.4563189904
30,37.0002697243
31,19.0072355113
32,18.4735827473
33,18.7236652754
34,26.5753013432
35,20.0997517202
36,30.616270275
37,30.6410810862
38,39.0257712325
39,25.2230281274
40,19.171196711
41,31.2919558473
42,24.6782621465
43,17.7063433659
44,21.4624056312
45,26.3675791106
46,20.1578480147
47,24.2134633894
48,14.8268496804
49,13.7962397425
50,19.6974657069
51,34.1402621185
52,24.640052693
53,-4.13228457721
54,12.8178676128
55,16.5252557105
56,20.3947464598
57,12.6993030111
58,10.6424034224
59,18.4169386922
60,20.001616889
61,20.4409537615
62,32.6146697832
63,24.30599294
64,35.8569885897
65,32.6741031182
66,15.6857355947
67,21.5984609126
68,25.3319082275
69,16.6150582331
70,19.6174386848
71,16.6275073579
72,28.5526756021
73,14.1326500749
74,20.7871633959
75,16.9829259688
76,20.0925498292
77,31.9468531122
78,17.1087347659
79,33.2711934789
80,32.6711233384
81,42.0109603866
82,28.3477011569
83,30.2267875648
84,18.1044525143
85,32.7649949002
86,16.7457890621
87,28.5800688672
88,16.091716444
89,19.1638041444
90,15.4635656316
91,20.2911372654
92,14.579795015
93,22.8449658055
94,20.0986434181
95,24.7443126196
96,35.876242403
97,3.82000902595
98,14.2709070448
99,27.5930301627
100,24.3789840889
101,16.4913642728
102,27.567268709
103,35.8203633996
104,11.1085879807
