ID,MEDV
0,23.7454629827
1,24.974090775
2,15.8902948842
3,19.8793097533
4,22.3127975575
5,22.449333976
6,18.897096825
7,22.3533681686
8,33.8317053742
9,18.5841390036
10,25.4018337695
11,22.0165465847
12,20.529802626
13,18.293357265
14,20.2210496034
15,26.9020372666
16,17.4337190616
17,24.6100394072
18,19.2445484079
19,21.6087765819
20,25.6723944104
21,36.7793192991
22,23.4993570789
23,9.51964585793
24,14.2328662537
25,8.46482613292
26,16.9880162924
27,20.1781419445
28,23.7343102508
29,15.4461692858
30,37.0024968899
31,19.0069433427
32,18.4779528132
33,18.7342111988
34,26.5936339321
35,20.1012953507
36,30.6151962666
37,30.646618295
38,39.0373468147
39,25.2209186205
40,19.1819653771
41,31.3045615771
42,24.680834209
43,17.711174819
44,21.4635465222
45,26.3681266124
46,20.1685177714
47,24.2183159277
48,14.8274589003
49,13.7959542541
50,19.6994876377
51,34.1564187124
52,24.6478666248
53,-4.13234423587
54,12.8191435973
55,16.52551567
56,20.3950603926
57,12.7061184248
58,10.6463478607
59,18.4218506606
60,20.0026948076
61,20.4626873927
62,32.6292343132
63,24.3129343088
64,35.8663746262
65,32.6833956192
66,15.690722244
67,21.6189720133
68,25.3378811877
69,16.6230470965
70,19.6257662798
71,16.6363421594
72,28.558136434
73,14.1460488046
74,20.7862479055
75,16.9940695601
76,20.0961916757
77,31.9527287813
78,17.1084491298
79,33.2859307839
80,32.6705527459
81,42.0310165472
82,28.3556340324
83,30.2341156351
84,18.1068949459
85,32.7750547179
86,16.7525584608
87,28.5890729851
88,16.0976782856
89,19.1655798186
90,15.4665971601
91,20.2924842388
92,14.5867891865
93,22.8494625832
94,20.1044042559
95,24.7492984531
96,35.8806877603
97,3.80128408275
98,14.2684173468
99,27.6063226017
100,24.3794259708
101,16.5000979269
102,27.5740931024
103,35.8294195272
104,11.1251747142
