ID,MEDV
0,23.6801164218
1,24.9223962265
2,15.8076912978
3,19.8463787758
4,22.2457903611
5,22.3975618301
6,18.8648244302
7,22.2794169184
8,33.7518016026
9,18.4995342098
10,25.347851519
11,22.0117247128
12,20.5007533856
13,18.2351061195
14,20.1995384232
15,26.8256967887
16,17.4003636067
17,24.5682626756
18,19.2120728962
19,21.5538634805
20,25.6023365504
21,36.7108412609
22,23.4703211381
23,9.46406833346
24,14.2087740345
25,8.3636527266
26,16.9375958076
27,20.1429293766
28,23.6912777115
29,15.463329144
30,36.9623519416
31,18.9744903262
32,18.4293266731
33,18.665840972
34,26.4853660786
35,20.0656213933
36,30.5898780027
37,30.5917968597
38,38.9582999039
39,25.196478276
40,19.1059368153
41,31.2230350844
42,24.6420395167
43,17.6613155619
44,21.430416947
45,26.3367834509
46,20.0929997258
47,24.1674495868
48,14.7926306762
49,13.7649295296
50,19.6607063874
51,34.0567936947
52,24.5918493931
53,-4.1606914969
54,12.7907628263
55,16.4972299642
56,20.3654970261
57,12.6477895203
58,10.5995608528
59,18.3714889299
60,19.9709422112
61,20.3358130587
62,32.5412720768
63,24.2563091797
64,35.7919568667
65,32.6122202296
66,15.6386231494
67,21.4950263368
68,25.2834997061
69,16.5586536837
70,19.5611897135
71,16.5714413933
72,28.5092720057
73,14.0593440011
74,20.7598920535
75,16.9192667888
76,20.0558808078
77,31.896962691
78,17.0791139933
79,33.1928088509
80,32.6429556299
81,41.9160931312
82,28.2872214364
83,30.1774344057
84,18.0698664062
85,32.7028957617
86,16.6946087393
87,28.5244103919
88,16.0417666373
89,19.1300081997
90,15.4211384433
91,20.2593791969
92,14.526621909
93,22.8005912047
94,20.0519976093
95,24.7019569718
96,35.8339939224
97,3.84878745597
98,14.2458742895
99,27.5229998413
100,24.3456540732
101,16.4353560835
102,27.5137271636
103,35.762003987
104,11.0303328676
